X1;X2;X3;X4;XAntSigatoka;Sigatoka
26.04;92.32;5.00;0.88;5358.04;5187.36
26.05;91.08;32.10;0.99;5187.36;4618.93
26.61;89.05;6.40;1.13;4618.93;5510.28
26.04;91.36;25.60;0.99;5510.28;5682.15
26.57;91.37;27.20;0.98;5682.15;5731.43
25.24;93.60;78.30;0.84;5731.43;5375.17
26.23;89.27;28.30;1.24;5375.17;5898.96
25.75;92.37;15.70;1.00;5898.96;5406.55
25.82;92.68;26.60;0.95;5406.55;5688.26
25.07;96.30;154.40;0.76;5688.26;5640.88
25.02;94.77;63.80;0.91;5640.88;5763.18
25.85;90.99;13.20;0.97;5763.18;6258.76
26.24;90.90;49.70;1.07;6258.76;6808.90
26.11;90.60;113.10;0.89;6808.90;5932.83
25.29;92.64;51.70;0.83;5932.83;5610.78
26.04;89.25;3.20;1.03;5610.78;5434.71
26.42;88.46;28.10;1.08;5434.71;5373.44
26.85;89.95;4.80;1.05;5373.44;5735.30
26.21;91.02;34.80;1.07;5735.30;5132.75
25.92;91.48;68.20;0.97;5132.75;6264.35
26.43;90.16;9.00;0.95;6264.35;6218.90
25.51;91.44;22.90;0.98;6218.90;5513.76
25.60;93.02;5.10;0.73;5513.76;5186.78
26.51;89.09;18.60;1.00;5186.78;6125.64
26.15;88.81;3.10;0.93;6125.64;5364.96
25.07;95.29;42.80;0.69;5364.96;5102.61
25.78;90.31;4.70;0.87;5102.61;5267.54
